"Nome","Data","Local","pathImg"
"Desconhecido","_13_2_2023__22_45","Sala","/home/alisson/Documentos/Trabalho_Final/capturas/SOE_Projeto_final/capturaImagens/imagem_desconhecido_13_2_2023__22_45.jpg"
"Desconhecido","_13_2_2023__22_45","Sala","/home/alisson/Documentos/Trabalho_Final/capturas/SOE_Projeto_final/capturaImagens/imagem_desconhecido_13_2_2023__22_45.jpg"
